,Warehouse,Order date,Delivery date,Customer,Zipcode
421,Washington,5/10/2021 13:28,5/11/2021 17:25,13437,15212
425,Butler,5/10/2021 22:42,5/11/2021 15:37,8415,15317
427,Washington,5/11/2021 3:59,5/11/2021 14:18,232,15301
430,Butler,5/11/2021 19:17,5/12/2021 16:53,14402,15129
433,Butler,5/11/2021 20:33,5/12/2021 17:18,1761,15227
434,Butler,5/11/2021 21:03,5/12/2021 13:24,16471,15220
437,Butler,5/11/2021 22:02,5/12/2021 16:15,8240,15317
438,Butler,5/12/2021 1:19,5/12/2021 13:38,15030,15220
440,Washington,5/12/2021 14:27,5/14/2021 15:12,15638,15090
443,Washington,5/12/2021 21:31,5/13/2021 15:52,16471,15220
446,Washington,5/12/2021 23:58,5/13/2021 15:18,14650,15102
452,Butler,5/13/2021 22:19,5/14/2021 14:37,3139,15044
453,Washington,5/13/2021 23:11,5/14/2021 14:36,8240,15317
454,McKees Rocks,5/13/2021 23:12,5/14/2021 14:36,11326,15228
456,Washington,5/14/2021 5:23,5/14/2021 14:53,7679,15044
457,Butler,5/14/2021 5:23,5/14/2021 14:54,7679,15044
464,Washington,5/15/2021 9:44,5/17/2021 19:04,17087,15367
467,Butler,5/17/2021 6:45,5/17/2021 18:53,8240,15317
468,Butler,5/17/2021 17:20,5/18/2021 15:21,13284,15129
469,McKees Rocks,5/17/2021 18:36,5/18/2021 16:10,3570,15241
470,Butler,5/17/2021 21:16,5/18/2021 15:44,14650,15102
471,Butler,5/17/2021 21:26,5/18/2021 15:56,2956,15241
473,Washington,5/17/2021 21:39,5/18/2021 16:28,12392,15017
479,Butler,5/18/2021 21:51,5/19/2021 18:05,8240,15317
481,Butler,5/18/2021 22:20,5/19/2021 18:40,1761,15227
483,Butler,5/18/2021 22:34,5/19/2021 18:05,14982,15216
484,Butler,5/18/2021 22:38,5/19/2021 18:05,9000,15241
489,Butler,5/19/2021 7:01,5/19/2021 18:05,13358,15301
494,Butler,5/19/2021 9:19,5/20/2021 19:13,7499,15234
501,McKees Rocks,5/19/2021 13:10,5/20/2021 15:30,7679,15044
502,Washington,5/19/2021 17:23,5/20/2021 15:45,3139,15044
503,Butler,5/19/2021 17:24,5/20/2021 15:45,3139,15044
504,Butler,5/19/2021 20:54,5/20/2021 15:28,13512,15301
505,Butler,5/19/2021 20:58,5/20/2021 19:28,2956,15241
508,Butler,5/19/2021 22:12,5/20/2021 19:40,9827,15102
514,Washington,5/20/2021 21:17,5/21/2021 15:02,14165,15205
516,McKees Rocks,5/20/2021 21:33,5/21/2021 13:49,8240,15317
517,Washington,5/20/2021 21:35,5/21/2021 13:50,8240,15317
518,Butler,5/20/2021 22:10,5/21/2021 13:46,3567,15301
519,Washington,5/20/2021 22:55,5/21/2021 14:05,17087,15367
520,McKees Rocks,5/20/2021 22:56,5/21/2021 14:04,17087,15367
521,Washington,5/21/2021 8:04,5/21/2021 13:50,8240,15317
526,Washington,5/22/2021 1:20,5/24/2021 16:31,17087,15367
527,Washington,5/22/2021 2:22,5/24/2021 16:31,3570,15241
530,Washington,5/22/2021 9:47,5/24/2021 16:31,15985,15220
531,Butler,5/22/2021 23:47,5/24/2021 16:31,8415,15317
535,McKees Rocks,5/24/2021 17:31,5/25/2021 12:40,1712,15317
536,Washington,5/24/2021 17:59,5/25/2021 14:30,3570,15241
538,Butler,5/24/2021 21:04,5/25/2021 14:57,2956,15241
539,McKees Rocks,5/24/2021 21:08,5/25/2021 12:27,399,15317
540,Butler,5/24/2021 21:29,5/27/2021 15:38,7679,15044
548,Butler,5/25/2021 9:10,5/26/2021 15:54,10110,15212
551,Butler,5/25/2021 21:23,5/26/2021 14:49,17477,15102
552,Butler,5/25/2021 22:38,5/26/2021 12:17,12392,15017
557,McKees Rocks,5/26/2021 11:13,5/27/2021 15:41,17087,15367
559,Butler,5/26/2021 11:17,5/27/2021 15:40,17087,15367
566,Washington,5/27/2021 15:40,5/28/2021 17:05,13437,15212
570,Washington,5/27/2021 21:41,5/28/2021 15:25,232,15301
574,Butler,5/27/2021 22:17,5/28/2021 16:19,1761,15227
575,Butler,5/27/2021 22:21,5/28/2021 15:25,8415,15317
577,Butler,5/28/2021 0:30,5/28/2021 15:25,17087,15367
580,McKees Rocks,5/28/2021 7:20,5/28/2021 15:25,8479,15301
581,Washington,5/28/2021 8:13,6/2/2021 16:42,3139,15044
582,Butler,5/28/2021 20:33,6/1/2021 13:15,12392,15017
583,Butler,5/29/2021 10:13,6/1/2021 13:45,12386,15236
590,Butler,6/1/2021 7:24,6/2/2021 16:42,7679,15044
591,McKees Rocks,6/1/2021 7:55,6/1/2021 12:52,8240,15317
592,Butler,6/1/2021 8:02,6/2/2021 16:42,3139,15044
596,Washington,6/1/2021 12:45,6/2/2021 16:59,17477,15102
598,McKees Rocks,6/1/2021 16:44,6/2/2021 17:25,12386,15236
599,Butler,6/1/2021 20:48,6/3/2021 14:34,11067,15301
600,Butler,6/1/2021 21:10,6/2/2021 16:42,12392,15017
601,Washington,6/1/2021 21:35,6/2/2021 16:44,2956,15241
602,McKees Rocks,6/1/2021 21:35,6/2/2021 16:44,2956,15241
603,Butler,6/1/2021 21:45,6/2/2021 17:11,14650,15102
604,Butler,6/1/2021 23:20,6/3/2021 14:34,232,15301
609,Washington,6/2/2021 12:26,6/3/2021 14:42,17087,15367
611,Butler,6/2/2021 15:58,6/4/2021 20:06,374,15057
612,Washington,6/2/2021 19:53,6/3/2021 14:59,17477,15102
613,Butler,6/2/2021 19:53,6/3/2021 14:57,17477,15102
614,Butler,6/3/2021 0:23,6/3/2021 16:04,1761,15227
615,Butler,6/3/2021 0:23,6/3/2021 15:23,13957,15220
616,McKees Rocks,6/3/2021 4:09,6/3/2021 14:59,17477,15102
618,Butler,6/3/2021 5:22,6/4/2021 17:51,7679,15044
620,Butler,6/3/2021 7:04,6/3/2021 14:34,3567,15301
621,McKees Rocks,6/3/2021 7:30,6/3/2021 14:34,3139,15044
623,Butler,6/3/2021 8:29,6/4/2021 20:05,374,15057
627,Butler,6/3/2021 21:16,6/7/2021 16:25,15449,15228
628,Butler,6/3/2021 21:37,6/4/2021 19:06,11326,15228
629,Butler,6/3/2021 21:43,6/4/2021 19:26,12392,15017
631,Washington,6/4/2021 6:47,6/4/2021 17:51,7679,15044
632,Washington,6/4/2021 8:14,6/7/2021 15:14,8240,15317
633,Butler,6/4/2021 8:15,6/7/2021 15:14,8240,15317
637,Washington,6/4/2021 20:12,6/7/2021 15:42,12392,15017
638,Butler,6/4/2021 20:21,6/7/2021 16:10,2956,15241
639,Butler,6/4/2021 20:32,6/7/2021 12:28,18369,15205
640,McKees Rocks,6/4/2021 21:03,6/7/2021 16:38,13957,15220
642,Butler,6/4/2021 23:48,6/7/2021 13:47,13512,15301
645,Butler,6/6/2021 15:00,6/7/2021 14:43,8415,15317
649,Butler,6/7/2021 13:38,6/8/2021 15:43,17477,15102
650,Washington,6/7/2021 17:22,6/8/2021 15:24,11658,15129
652,Butler,6/7/2021 20:38,6/8/2021 13:44,374,15057
653,Washington,6/7/2021 21:52,6/8/2021 16:29,15449,15228
654,Butler,6/7/2021 21:52,6/8/2021 16:28,15449,15228
655,Washington,6/7/2021 22:08,6/8/2021 16:03,3570,15241
661,Washington,6/8/2021 22:01,6/9/2021 15:56,14295,15102
662,Butler,6/8/2021 22:24,6/9/2021 16:28,11326,15228
664,Butler,6/9/2021 11:30,6/10/2021 14:51,18194,15234
666,Washington,6/9/2021 19:31,6/10/2021 14:30,9827,15102
667,Butler,6/9/2021 19:32,6/10/2021 12:53,12392,15017
668,McKees Rocks,6/9/2021 22:22,6/10/2021 14:07,8240,15317
669,Butler,6/9/2021 22:27,6/10/2021 14:09,8240,15317
671,Washington,6/9/2021 22:40,6/10/2021 14:08,8240,15317
674,McKees Rocks,6/10/2021 10:57,6/14/2021 13:12,374,15057
675,Butler,6/10/2021 10:57,6/11/2021 12:52,374,15057
676,Washington,6/10/2021 11:46,6/11/2021 15:25,14982,15216
677,McKees Rocks,6/10/2021 17:05,6/11/2021 15:53,12386,15236
678,Washington,6/10/2021 17:05,6/11/2021 15:53,12386,15236
681,Butler,6/10/2021 19:13,6/11/2021 12:53,18369,15205
682,Washington,6/10/2021 19:16,6/11/2021 14:48,12392,15017
683,McKees Rocks,6/10/2021 19:43,6/11/2021 14:48,12392,15017
684,Butler,6/10/2021 20:11,6/11/2021 15:24,14982,15216
685,Butler,6/10/2021 20:38,6/11/2021 13:18,15616,15301
686,McKees Rocks,6/10/2021 21:10,6/11/2021 14:26,8415,15317
689,Washington,6/11/2021 8:14,6/14/2021 16:05,13565,15102
690,Butler,6/11/2021 9:04,6/14/2021 15:35,9032,15241
692,Washington,6/11/2021 15:14,6/14/2021 15:35,9032,15241
693,McKees Rocks,6/11/2021 15:32,6/14/2021 15:34,9032,15241
694,Butler,6/11/2021 19:06,6/14/2021 12:35,18369,15205
695,Butler,6/11/2021 19:10,6/15/2021 13:07,7679,15044
696,Butler,6/11/2021 19:11,6/14/2021 16:39,12392,15017
698,Washington,6/11/2021 19:27,6/15/2021 18:06,14982,15216
699,Washington,6/11/2021 20:02,6/14/2021 16:38,12392,15017
700,Butler,6/11/2021 20:10,6/14/2021 17:42,7417,15210
701,Butler,6/11/2021 21:30,6/14/2021 13:12,374,15057
702,Butler,6/12/2021 11:43,6/14/2021 15:52,9000,15241
703,Butler,6/13/2021 20:12,6/15/2021 12:52,3139,15044
704,Butler,6/13/2021 21:50,6/14/2021 15:14,8240,15317
705,Butler,6/14/2021 19:01,6/15/2021 17:02,10400,15317
706,Washington,6/14/2021 19:18,6/15/2021 17:40,12392,15017
709,Butler,6/14/2021 20:28,6/15/2021 13:59,16471,15220
714,Butler,6/15/2021 8:04,6/16/2021 15:15,13565,15102
715,Washington,6/15/2021 8:05,6/16/2021 15:15,13565,15102
716,Washington,6/15/2021 13:38,6/16/2021 14:57,9032,15241
717,Butler,6/15/2021 14:00,6/16/2021 15:56,20043,15228
718,Washington,6/15/2021 14:49,6/16/2021 14:09,16332,15317
719,Washington,6/15/2021 16:12,6/16/2021 16:50,15985,15220
720,Washington,6/15/2021 20:25,6/16/2021 16:17,10339,15220
721,Butler,6/15/2021 21:20,6/16/2021 12:30,12392,15017
723,Washington,6/15/2021 22:08,6/16/2021 16:41,16471,15220
724,Washington,6/15/2021 22:35,6/16/2021 15:39,12386,15236
725,Washington,6/15/2021 23:35,6/16/2021 14:35,8240,15317
726,Butler,6/16/2021 2:43,6/16/2021 15:28,14650,15102
730,Butler,6/16/2021 8:44,6/17/2021 16:07,7417,15210
733,Butler,6/16/2021 19:15,6/17/2021 14:13,203,15301
734,Butler,6/16/2021 19:19,6/17/2021 16:59,18369,15205
735,Washington,6/16/2021 19:30,6/17/2021 17:04,15985,15220
738,Washington,6/16/2021 22:48,6/17/2021 15:22,9032,15241
739,Butler,6/16/2021 22:50,6/17/2021 15:22,9032,15241
742,Butler,6/17/2021 17:18,6/18/2021 14:02,20043,15228
743,Washington,6/17/2021 17:18,6/18/2021 14:03,20043,15228
745,McKees Rocks,6/17/2021 19:10,6/18/2021 16:18,18369,15205
746,Washington,6/17/2021 19:18,6/18/2021 16:18,18369,15205
747,Butler,6/17/2021 19:19,6/18/2021 16:19,18369,15205
748,Washington,6/17/2021 20:54,6/18/2021 16:29,16471,15220
749,Butler,6/17/2021 21:28,6/18/2021 13:42,9032,15241
750,Washington,6/17/2021 21:30,6/18/2021 13:42,9032,15241
752,Butler,6/18/2021 9:34,6/21/2021 15:27,374,15057
754,Butler,6/18/2021 19:15,6/21/2021 16:56,18369,15205
755,Washington,6/18/2021 19:22,6/21/2021 14:48,9032,15241
756,Butler,6/18/2021 19:24,6/21/2021 14:49,9032,15241
758,Butler,6/18/2021 21:52,6/21/2021 12:53,15616,15301
759,McKees Rocks,6/19/2021 17:19,6/21/2021 14:28,17087,15367
760,Washington,6/21/2021 8:51,6/22/2021 15:19,14347,15227
761,Washington,6/21/2021 12:08,6/23/2021 17:19,7417,15210
762,Butler,6/21/2021 12:08,6/23/2021 17:20,7417,15210
764,Washington,6/21/2021 19:18,6/22/2021 14:42,18369,15205
765,Butler,6/21/2021 19:23,6/23/2021 16:49,11326,15228
766,McKees Rocks,6/21/2021 19:33,6/22/2021 14:23,12846,15106
767,McKees Rocks,6/21/2021 21:55,6/22/2021 15:06,15776,15227
769,Washington,6/22/2021 8:29,6/22/2021 13:23,12392,15017
770,McKees Rocks,6/22/2021 12:35,6/23/2021 13:50,374,15057
773,Butler,6/22/2021 18:54,6/23/2021 13:21,12392,15017
774,Butler,6/22/2021 19:21,6/23/2021 16:13,13565,15102
775,Butler,6/22/2021 21:25,6/23/2021 14:17,13512,15301
782,Washington,6/23/2021 20:15,6/24/2021 12:31,12392,15017
783,Butler,6/23/2021 20:25,6/25/2021 16:29,9032,15241
784,Washington,6/23/2021 20:29,6/24/2021 11:39,10120,15301
786,McKees Rocks,6/24/2021 7:41,6/25/2021 16:58,13565,15102
788,McKees Rocks,6/24/2021 15:59,6/25/2021 17:07,11658,15129
789,Butler,6/24/2021 18:28,6/25/2021 16:57,13565,15102
790,McKees Rocks,6/24/2021 19:09,6/25/2021 17:45,18369,15205
794,Butler,6/25/2021 18:12,6/28/2021 19:06,15985,15220
796,Butler,6/25/2021 18:58,6/28/2021 19:00,18369,15205
798,Butler,6/25/2021 20:26,6/28/2021 19:00,9032,15241
799,Washington,6/25/2021 20:37,6/28/2021 19:00,15449,15228
802,Butler,6/26/2021 6:48,6/28/2021 19:00,12386,15236
803,Washington,6/26/2021 11:19,6/28/2021 19:00,9032,15241
804,Washington,6/26/2021 12:45,6/29/2021 11:01,3139,15044
810,Butler,6/28/2021 23:25,6/29/2021 13:39,15616,15301
811,McKees Rocks,6/29/2021 7:10,6/29/2021 14:49,15776,15227
812,Washington,6/29/2021 14:07,6/30/2021 14:44,2817,15241
813,McKees Rocks,6/29/2021 17:13,6/30/2021 14:12,8240,15317
818,Butler,6/29/2021 19:58,6/30/2021 12:28,12392,15017
819,Butler,6/29/2021 21:09,6/30/2021 14:30,9032,15241
820,Washington,6/29/2021 21:10,6/30/2021 14:28,9032,15241
821,McKees Rocks,6/29/2021 21:34,6/30/2021 14:29,9032,15241
822,Washington,6/30/2021 0:24,7/1/2021 15:45,14982,15216
823,Washington,6/30/2021 8:17,1/18/2022 22:21,2817,15241
827,McKees Rocks,6/30/2021 20:01,7/1/2021 14:18,15617,15317
828,Butler,6/30/2021 20:13,7/1/2021 12:34,21332,15205
829,Butler,6/30/2021 21:08,7/1/2021 15:19,9032,15241
830,Washington,6/30/2021 21:09,7/1/2021 15:20,9032,15241
